ID,N_VICTIMAS,FECHA,SEMESTRE,ANIO,MM,DD,HORA,HH,PARTE_DIA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,SEXO,EDAD
2016-0001,1,2016-01-01,1,2016,1,1,04:00:00,4,1,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,MOTO_AUTO,MOTO,AUTO,MASCULINO,19.0
2016-0002,1,2016-01-02,1,2016,1,2,01:15:00,1,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,AUTO_PASAJEROS,AUTO,PASAJEROS,MASCULINO,70.0
2016-0003,1,2016-01-03,1,2016,1,3,07:00:00,7,2,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,1,MOTO_AUTO,MOTO,AUTO,MASCULINO,30.0
2016-0004,1,2016-01-10,1,2016,1,10,00:00:00,0,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",8,MOTO_SD,MOTO,,MASCULINO,18.0
2016-0005,1,2016-01-21,1,2016,1,21,05:20:00,5,1,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.",1,MOTO_PASAJEROS,MOTO,PASAJEROS,MASCULINO,29.0
2016-0008,1,2016-01-24,1,2016,1,24,18:30:00,18,4,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,MOTO_OBJETO FIJO,MOTO,OBJETO FIJO,MASCULINO,30.0
2016-0009,1,2016-01-24,1,2016,1,24,19:10:00,19,4,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.",11,MOTO_AUTO,MOTO,AUTO,MASCULINO,29.0
2016-0010,1,2016-01-29,1,2016,1,29,15:20:00,15,4,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,MOTO_AUTO,MOTO,AUTO,MASCULINO,18.0
2016-0012,1,2016-02-08,1,2016,2,8,01:20:00,1,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE",1,MOTO_CARGAS,MOTO,CARGAS,MASCULINO,22.0
2016-0013,1,2016-02-10,1,2016,2,10,11:30:00,11,2,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,1,PEATON_AUTO,PEATON,AUTO,MASCULINO,16.0
2016-0015,1,2016-02-14,1,2016,2,14,05:14:00,5,1,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,15,PEATON_AUTO,PEATON,AUTO,FEMENINO,16.0
2016-0016,1,2016-02-14,1,2016,2,14,22:00:00,22,5,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO",4,MOTO_AUTO,MOTO,AUTO,FEMENINO,19.0
